Epoch  28: Train%/Test% | Accuracy: 80.33%/75.94% | Precision: 79.82%/75.38% | Recall: 79.77%/77.22% | F1: 79.79%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  29: Train%/Test% | Accuracy: 80.21%/75.00% | Precision: 79.78%/74.23% | Recall: 79.39%/75.94% | F1: 79.56%/74.30% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  30: Train%/Test% | Accuracy: 84.72%/74.06% | Precision: 87.63%/81.97% | Recall: 82.29%/65.28% | F1: 83.38%/65.19% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  31: Train%/Test% | Accuracy: 84.60%/74.53% | Precision: 87.55%/83.83% | Recall: 82.15%/65.65% | F1: 83.24%/65.60% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  32: Train%/Test% | Accuracy: 85.07%/75.00% | Precision: 87.17%/82.62% | Recall: 82.95%/66.56% | F1: 83.94%/66.87% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  33: Train%/Test% | Accuracy: 85.07%/74.53% | Precision: 87.51%/80.99% | Recall: 82.83%/66.19% | F1: 83.87%/66.46% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  34: Train%/Test% | Accuracy: 82.35%/74.53% | Precision: 86.39%/83.83% | Recall: 79.39%/65.65% | F1: 80.45%/65.60% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  35: Train%/Test% | Accuracy: 83.06%/75.47% | Precision: 86.41%/86.02% | Recall: 80.35%/66.67% | F1: 81.41%/66.88% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  36: Train%/Test% | Accuracy: 84.83%/75.00% | Precision: 87.97%/85.83% | Recall: 82.35%/66.03% | F1: 83.48%/66.02% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  37: Train%/Test% | Accuracy: 85.19%/74.06% | Precision: 87.47%/81.97% | Recall: 83.01%/65.28% | F1: 84.03%/65.19% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  38: Train%/Test% | Accuracy: 80.81%/76.42% | Precision: 80.43%/75.75% | Recall: 79.94%/77.59% | F1: 80.14%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  39: Train%/Test% | Accuracy: 81.28%/75.47% | Precision: 81.00%/74.62% | Recall: 80.31%/76.31% | F1: 80.58%/74.74% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  40: Train%/Test% | Accuracy: 80.57%/75.47% | Precision: 80.33%/74.80% | Recall: 79.46%/76.58% | F1: 79.79%/74.82% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  41: Train%/Test% | Accuracy: 80.81%/75.94% | Precision: 80.53%/75.38% | Recall: 79.78%/77.22% | F1: 80.07%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  42: Train%/Test% | Accuracy: 81.28%/74.53% | Precision: 80.90%/74.06% | Recall: 80.47%/75.83% | F1: 80.65%/73.93% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  43: Train%/Test% | Accuracy: 82.11%/75.94% | Precision: 81.80%/75.38% | Recall: 81.26%/77.22% | F1: 81.48%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  44: Train%/Test% | Accuracy: 81.28%/76.42% | Precision: 81.00%/75.75% | Recall: 80.31%/77.59% | F1: 80.58%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  45: Train%/Test% | Accuracy: 81.64%/75.00% | Precision: 81.30%/74.23% | Recall: 80.77%/75.94% | F1: 80.99%/74.30% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  46: Train%/Test% | Accuracy: 81.28%/75.00% | Precision: 81.00%/74.23% | Recall: 80.31%/75.94% | F1: 80.58%/74.30% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  47: Train%/Test% | Accuracy: 81.75%/75.94% | Precision: 81.52%/75.18% | Recall: 80.76%/76.95% | F1: 81.06%/75.27% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  48: Train%/Test% | Accuracy: 81.28%/75.47% | Precision: 81.08%/74.62% | Recall: 80.19%/76.31% | F1: 80.53%/74.74% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  49: Train%/Test% | Accuracy: 82.46%/75.47% | Precision: 82.13%/74.80% | Recall: 81.68%/76.58% | F1: 81.88%/74.82% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  50: Train%/Test% | Accuracy: 81.04%/75.00% | Precision: 80.58%/74.43% | Recall: 80.38%/76.21% | F1: 80.47%/74.38% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  51: Train%/Test% | Accuracy: 81.64%/75.94% | Precision: 81.30%/75.18% | Recall: 80.77%/76.95% | F1: 80.99%/75.27% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  52: Train%/Test% | Accuracy: 82.23%/76.42% | Precision: 81.89%/75.75% | Recall: 81.44%/77.59% | F1: 81.63%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  53: Train%/Test% | Accuracy: 82.46%/75.94% | Precision: 82.18%/75.38% | Recall: 81.60%/77.22% | F1: 81.84%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  54: Train%/Test% | Accuracy: 81.87%/75.47% | Precision: 81.73%/74.62% | Recall: 80.78%/76.31% | F1: 81.13%/74.74% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  55: Train%/Test% | Accuracy: 82.46%/76.42% | Precision: 82.30%/75.56% | Recall: 81.45%/77.32% | F1: 81.78%/75.71% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  56: Train%/Test% | Accuracy: 82.46%/75.94% | Precision: 82.18%/75.38% | Recall: 81.60%/77.22% | F1: 81.84%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  57: Train%/Test% | Accuracy: 82.70%/75.47% | Precision: 82.49%/74.80% | Recall: 81.77%/76.58% | F1: 82.06%/74.82% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  58: Train%/Test% | Accuracy: 81.40%/75.47% | Precision: 81.13%/74.80% | Recall: 80.41%/76.58% | F1: 80.70%/74.82% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  59: Train%/Test% | Accuracy: 81.87%/75.94% | Precision: 81.66%/75.18% | Recall: 80.86%/76.95% | F1: 81.17%/75.27% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  60: Train%/Test% | Accuracy: 75.95%/73.58% | Precision: 84.49%/83.29% | Recall: 71.45%/64.37% | F1: 71.51%/63.85% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  61: Train%/Test% | Accuracy: 75.12%/73.58% | Precision: 83.25%/85.26% | Recall: 70.57%/64.10% | F1: 70.50%/63.36% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  62: Train%/Test% | Accuracy: 76.07%/74.06% | Precision: 84.01%/85.45% | Recall: 71.66%/64.74% | F1: 71.81%/64.26% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  63: Train%/Test% | Accuracy: 75.95%/73.58% | Precision: 83.95%/83.29% | Recall: 71.52%/64.37% | F1: 71.64%/63.85% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  64: Train%/Test% | Accuracy: 76.90%/75.00% | Precision: 84.70%/85.83% | Recall: 72.61%/66.03% | F1: 72.93%/66.02% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  65: Train%/Test% | Accuracy: 82.82%/75.94% | Precision: 82.66%/75.18% | Recall: 81.83%/76.95% | F1: 82.15%/75.27% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  66: Train%/Test% | Accuracy: 82.70%/76.42% | Precision: 82.46%/75.75% | Recall: 81.81%/77.59% | F1: 82.07%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  67: Train%/Test% | Accuracy: 82.46%/75.94% | Precision: 82.24%/75.18% | Recall: 81.53%/76.95% | F1: 81.81%/75.27% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  68: Train%/Test% | Accuracy: 82.82%/76.89% | Precision: 82.57%/76.13% | Recall: 81.95%/77.97% | F1: 82.20%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  69: Train%/Test% | Accuracy: 82.94%/76.89% | Precision: 82.77%/76.13% | Recall: 81.97%/77.97% | F1: 82.29%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  70: Train%/Test% | Accuracy: 82.94%/76.89% | Precision: 82.71%/76.13% | Recall: 82.05%/77.97% | F1: 82.32%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  71: Train%/Test% | Accuracy: 82.70%/76.89% | Precision: 82.59%/76.13% | Recall: 81.65%/77.97% | F1: 82.01%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  72: Train%/Test% | Accuracy: 81.99%/75.94% | Precision: 81.77%/75.18% | Recall: 81.00%/76.95% | F1: 81.30%/75.27% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  73: Train%/Test% | Accuracy: 83.18%/76.42% | Precision: 82.96%/75.75% | Recall: 82.30%/77.59% | F1: 82.56%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  74: Train%/Test% | Accuracy: 83.41%/76.42% | Precision: 83.15%/75.75% | Recall: 82.62%/77.59% | F1: 82.84%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  75: Train%/Test% | Accuracy: 83.77%/76.42% | Precision: 83.50%/75.75% | Recall: 83.00%/77.59% | F1: 83.22%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  76: Train%/Test% | Accuracy: 83.06%/75.94% | Precision: 82.76%/75.38% | Recall: 82.27%/77.22% | F1: 82.48%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  77: Train%/Test% | Accuracy: 83.18%/75.94% | Precision: 82.90%/75.38% | Recall: 82.37%/77.22% | F1: 82.60%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  78: Train%/Test% | Accuracy: 83.06%/75.94% | Precision: 82.67%/75.38% | Recall: 82.43%/77.22% | F1: 82.54%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  79: Train%/Test% | Accuracy: 82.94%/76.42% | Precision: 82.58%/75.75% | Recall: 82.25%/77.59% | F1: 82.40%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  80: Train%/Test% | Accuracy: 83.06%/76.42% | Precision: 82.76%/75.75% | Recall: 82.27%/77.59% | F1: 82.48%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  81: Train%/Test% | Accuracy: 82.82%/76.42% | Precision: 82.49%/75.75% | Recall: 82.07%/77.59% | F1: 82.25%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  82: Train%/Test% | Accuracy: 83.29%/76.89% | Precision: 83.10%/76.13% | Recall: 82.40%/77.97% | F1: 82.68%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  83: Train%/Test% | Accuracy: 83.53%/76.42% | Precision: 83.26%/75.75% | Recall: 82.76%/77.59% | F1: 82.97%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  84: Train%/Test% | Accuracy: 83.18%/76.42% | Precision: 82.93%/75.75% | Recall: 82.33%/77.59% | F1: 82.58%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  85: Train%/Test% | Accuracy: 83.29%/76.42% | Precision: 83.01%/75.75% | Recall: 82.52%/77.59% | F1: 82.73%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  86: Train%/Test% | Accuracy: 82.94%/75.94% | Precision: 82.60%/75.38% | Recall: 82.21%/77.22% | F1: 82.38%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  87: Train%/Test% | Accuracy: 83.18%/76.42% | Precision: 82.93%/75.75% | Recall: 82.33%/77.59% | F1: 82.58%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  88: Train%/Test% | Accuracy: 83.29%/76.42% | Precision: 83.10%/75.75% | Recall: 82.40%/77.59% | F1: 82.68%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  89: Train%/Test% | Accuracy: 83.29%/76.89% | Precision: 83.07%/76.13% | Recall: 82.44%/77.97% | F1: 82.70%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  90: Train%/Test% | Accuracy: 82.82%/76.89% | Precision: 82.54%/76.13% | Recall: 81.99%/77.97% | F1: 82.22%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  91: Train%/Test% | Accuracy: 83.06%/76.89% | Precision: 82.72%/76.13% | Recall: 82.35%/77.97% | F1: 82.51%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  92: Train%/Test% | Accuracy: 82.82%/76.89% | Precision: 82.54%/76.13% | Recall: 81.99%/77.97% | F1: 82.22%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  93: Train%/Test% | Accuracy: 82.94%/76.42% | Precision: 82.68%/75.56% | Recall: 82.09%/77.32% | F1: 82.33%/75.71% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  94: Train%/Test% | Accuracy: 83.06%/75.94% | Precision: 82.76%/75.38% | Recall: 82.27%/77.22% | F1: 82.48%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  95: Train%/Test% | Accuracy: 82.70%/75.47% | Precision: 82.38%/74.80% | Recall: 81.93%/76.58% | F1: 82.12%/74.82% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  96: Train%/Test% | Accuracy: 83.06%/75.94% | Precision: 82.82%/75.38% | Recall: 82.19%/77.22% | F1: 82.45%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  97: Train%/Test% | Accuracy: 83.06%/75.94% | Precision: 82.88%/75.38% | Recall: 82.12%/77.22% | F1: 82.42%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  98: Train%/Test% | Accuracy: 83.18%/76.89% | Precision: 82.93%/76.13% | Recall: 82.33%/77.97% | F1: 82.58%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch  99: Train%/Test% | Accuracy: 82.82%/76.89% | Precision: 82.57%/76.13% | Recall: 81.95%/77.97% | F1: 82.20%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 100: Train%/Test% | Accuracy: 82.94%/76.42% | Precision: 82.68%/75.75% | Recall: 82.09%/77.59% | F1: 82.33%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 101: Train%/Test% | Accuracy: 83.18%/76.42% | Precision: 82.90%/75.75% | Recall: 82.37%/77.59% | F1: 82.60%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 102: Train%/Test% | Accuracy: 83.89%/76.89% | Precision: 83.73%/76.13% | Recall: 82.99%/77.97% | F1: 83.29%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 103: Train%/Test% | Accuracy: 83.53%/76.89% | Precision: 83.28%/76.13% | Recall: 82.72%/77.97% | F1: 82.96%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 104: Train%/Test% | Accuracy: 83.65%/76.42% | Precision: 83.37%/75.75% | Recall: 82.90%/77.59% | F1: 83.10%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 105: Train%/Test% | Accuracy: 83.77%/76.42% | Precision: 83.50%/75.75% | Recall: 83.00%/77.59% | F1: 83.22%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 106: Train%/Test% | Accuracy: 83.65%/76.89% | Precision: 83.52%/76.13% | Recall: 82.70%/77.97% | F1: 83.02%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 107: Train%/Test% | Accuracy: 84.00%/76.89% | Precision: 83.91%/76.13% | Recall: 83.05%/77.97% | F1: 83.39%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 108: Train%/Test% | Accuracy: 84.12%/76.89% | Precision: 84.02%/76.13% | Recall: 83.19%/77.97% | F1: 83.52%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 109: Train%/Test% | Accuracy: 84.00%/76.42% | Precision: 83.78%/75.75% | Recall: 83.21%/77.59% | F1: 83.45%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 110: Train%/Test% | Accuracy: 84.24%/76.89% | Precision: 84.06%/76.13% | Recall: 83.41%/77.97% | F1: 83.68%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 111: Train%/Test% | Accuracy: 84.12%/76.42% | Precision: 83.89%/75.75% | Recall: 83.35%/77.59% | F1: 83.58%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 112: Train%/Test% | Accuracy: 83.65%/76.42% | Precision: 83.42%/75.75% | Recall: 82.82%/77.59% | F1: 83.07%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 113: Train%/Test% | Accuracy: 84.00%/76.89% | Precision: 83.78%/76.13% | Recall: 83.21%/77.97% | F1: 83.45%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 114: Train%/Test% | Accuracy: 84.12%/76.42% | Precision: 83.95%/75.75% | Recall: 83.27%/77.59% | F1: 83.55%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 115: Train%/Test% | Accuracy: 83.53%/76.42% | Precision: 83.21%/75.75% | Recall: 82.84%/77.59% | F1: 83.00%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 116: Train%/Test% | Accuracy: 83.29%/75.94% | Precision: 82.96%/75.38% | Recall: 82.59%/77.22% | F1: 82.76%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 117: Train%/Test% | Accuracy: 83.65%/75.94% | Precision: 83.37%/75.38% | Recall: 82.90%/77.22% | F1: 83.10%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 118: Train%/Test% | Accuracy: 84.12%/76.42% | Precision: 83.89%/75.75% | Recall: 83.35%/77.59% | F1: 83.58%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 119: Train%/Test% | Accuracy: 84.00%/76.89% | Precision: 83.87%/76.13% | Recall: 83.09%/77.97% | F1: 83.40%/76.24% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 120: Train%/Test% | Accuracy: 83.89%/76.42% | Precision: 83.67%/75.75% | Recall: 83.06%/77.59% | F1: 83.32%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 121: Train%/Test% | Accuracy: 83.29%/76.42% | Precision: 82.99%/75.75% | Recall: 82.55%/77.59% | F1: 82.74%/75.79% | Time: fit=010s, train=002s, test=001s, total=013s
Epoch 122: Train%/Test% | Accuracy: 83.18%/75.94% | Precision: 82.85%/75.38% | Recall: 82.45%/77.22% | F1: 82.63%/75.35% | Time: fit=010s, train=002s, test=001s, total=013s
