[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=200, s=10.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 20.97%/18.40% | Recall: 50.00%/50.00% | F1: 29.55%/26.90% | Time: fit=019s, train=003s, test=001s, total=023s
Epoch   2: Train%/Test% | Accuracy: 72.27%/70.75% | Precision: 78.76%/74.07% | Recall: 67.62%/61.86% | F1: 67.05%/61.01% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   3: Train%/Test% | Accuracy: 72.99%/71.70% | Precision: 79.05%/75.16% | Recall: 68.50%/63.15% | F1: 68.18%/62.73% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   4: Train%/Test% | Accuracy: 74.17%/71.23% | Precision: 79.50%/74.63% | Recall: 69.99%/62.50% | F1: 70.02%/61.87% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   5: Train%/Test% | Accuracy: 74.17%/69.81% | Precision: 76.80%/70.13% | Recall: 70.70%/61.65% | F1: 71.03%/61.17% | Time: fit=017s, train=003s, test=001s, total=022s
Epoch   6: Train%/Test% | Accuracy: 75.00%/72.64% | Precision: 77.37%/73.08% | Recall: 71.73%/65.77% | F1: 72.17%/66.29% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   7: Train%/Test% | Accuracy: 77.49%/75.47% | Precision: 78.19%/74.75% | Recall: 75.28%/70.69% | F1: 75.88%/71.63% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   8: Train%/Test% | Accuracy: 76.78%/75.47% | Precision: 78.09%/75.31% | Recall: 74.16%/70.15% | F1: 74.77%/71.16% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   9: Train%/Test% | Accuracy: 77.61%/74.06% | Precision: 78.29%/73.27% | Recall: 75.42%/68.76% | F1: 76.02%/69.62% | Time: fit=017s, train=003s, test=001s, total=021s
