[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> tweet_ids...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=100, s=10.0
Epochs: 100
Feature(s): tweet
max-vocab=3000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 500
==============================
[*] Training for 100 epochs...
Epoch   1: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
Epoch  29: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 69.44%/68.75% | Recall: 52.21%/51.49% | F1: 34.54%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  30: Train%/Test% | Accuracy: 44.79%/38.68% | Precision: 71.59%/68.75% | Recall: 52.45%/51.49% | F1: 34.82%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  31: Train%/Test% | Accuracy: 44.79%/38.68% | Precision: 69.65%/68.75% | Recall: 52.41%/51.49% | F1: 34.96%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  32: Train%/Test% | Accuracy: 44.67%/38.68% | Precision: 71.56%/68.75% | Recall: 52.35%/51.49% | F1: 34.61%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  33: Train%/Test% | Accuracy: 44.79%/38.68% | Precision: 71.59%/68.75% | Recall: 52.45%/51.49% | F1: 34.82%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  34: Train%/Test% | Accuracy: 44.79%/38.68% | Precision: 71.59%/68.75% | Recall: 52.45%/51.49% | F1: 34.82%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  35: Train%/Test% | Accuracy: 44.91%/38.68% | Precision: 71.61%/68.75% | Recall: 52.55%/51.49% | F1: 35.03%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  36: Train%/Test% | Accuracy: 44.67%/38.68% | Precision: 69.55%/68.75% | Recall: 52.31%/51.49% | F1: 34.75%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  37: Train%/Test% | Accuracy: 44.67%/38.68% | Precision: 69.55%/68.75% | Recall: 52.31%/51.49% | F1: 34.75%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  38: Train%/Test% | Accuracy: 44.55%/38.68% | Precision: 69.44%/68.75% | Recall: 52.21%/51.49% | F1: 34.54%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  39: Train%/Test% | Accuracy: 44.67%/38.68% | Precision: 69.55%/68.75% | Recall: 52.31%/51.49% | F1: 34.75%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  40: Train%/Test% | Accuracy: 44.67%/38.68% | Precision: 69.55%/68.75% | Recall: 52.31%/51.49% | F1: 34.75%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  41: Train%/Test% | Accuracy: 44.43%/38.68% | Precision: 67.49%/68.75% | Recall: 52.06%/51.49% | F1: 34.47%/30.17% | Time: fit=000s, train=000s, test=000s, total=001s
