[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=150, s=10.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 20.97%/18.40% | Recall: 50.00%/50.00% | F1: 29.55%/26.90% | Time: fit=019s, train=003s, test=001s, total=023s
Epoch   2: Train%/Test% | Accuracy: 74.17%/65.57% | Precision: 73.90%/63.98% | Recall: 74.50%/64.72% | F1: 73.91%/64.09% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   3: Train%/Test% | Accuracy: 76.54%/74.06% | Precision: 79.18%/76.83% | Recall: 73.37%/66.62% | F1: 73.95%/67.19% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   4: Train%/Test% | Accuracy: 75.71%/73.58% | Precision: 79.18%/77.13% | Recall: 72.18%/65.71% | F1: 72.63%/66.03% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   5: Train%/Test% | Accuracy: 75.12%/72.64% | Precision: 78.73%/76.18% | Recall: 71.48%/64.43% | F1: 71.84%/64.40% | Time: fit=018s, train=003s, test=001s, total=022s
Epoch   6: Train%/Test% | Accuracy: 76.18%/73.58% | Precision: 78.14%/75.09% | Recall: 73.22%/66.51% | F1: 73.79%/67.12% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   7: Train%/Test% | Accuracy: 76.18%/73.11% | Precision: 78.79%/74.06% | Recall: 72.98%/66.14% | F1: 73.54%/66.71% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   8: Train%/Test% | Accuracy: 75.36%/72.64% | Precision: 76.97%/72.67% | Recall: 72.42%/66.04% | F1: 72.94%/66.63% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch   9: Train%/Test% | Accuracy: 76.90%/74.53% | Precision: 77.36%/74.04% | Recall: 74.77%/69.14% | F1: 75.32%/70.05% | Time: fit=017s, train=003s, test=001s, total=021s
