[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=250, s=10.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
*** compiler output in /tmp/tmpjq770mxy
*** compiler output in /tmp/tmpy1_ua4_4
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 20.97%/18.40% | Recall: 50.00%/50.00% | F1: 29.55%/26.90% | Time: fit=023s, train=003s, test=001s, total=027s
Epoch  27: Train%/Test% | Accuracy: 77.84%/70.75% | Precision: 77.25%/68.64% | Recall: 77.47%/68.83% | F1: 77.35%/68.73% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  28: Train%/Test% | Accuracy: 76.90%/66.51% | Precision: 78.07%/67.76% | Recall: 78.49%/68.95% | F1: 76.88%/66.24% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  29: Train%/Test% | Accuracy: 75.47%/65.09% | Precision: 77.28%/66.80% | Recall: 77.39%/67.83% | F1: 75.47%/64.89% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  30: Train%/Test% | Accuracy: 76.30%/65.57% | Precision: 77.65%/67.12% | Recall: 77.98%/68.21% | F1: 76.29%/65.34% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  31: Train%/Test% | Accuracy: 78.55%/66.98% | Precision: 79.19%/67.24% | Recall: 79.84%/68.52% | F1: 78.50%/66.48% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  32: Train%/Test% | Accuracy: 79.38%/74.53% | Precision: 78.82%/72.60% | Recall: 79.07%/72.08% | F1: 78.93%/72.31% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  33: Train%/Test% | Accuracy: 78.44%/73.58% | Precision: 77.95%/71.78% | Recall: 78.49%/72.41% | F1: 78.10%/72.03% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  34: Train%/Test% | Accuracy: 69.79%/58.02% | Precision: 73.64%/62.57% | Recall: 72.53%/62.50% | F1: 69.70%/58.02% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  35: Train%/Test% | Accuracy: 71.09%/59.43% | Precision: 74.37%/63.48% | Recall: 73.61%/63.62% | F1: 71.05%/59.43% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  36: Train%/Test% | Accuracy: 61.97%/50.47% | Precision: 71.71%/60.65% | Recall: 66.50%/58.14% | F1: 60.78%/49.53% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  37: Train%/Test% | Accuracy: 67.89%/55.66% | Precision: 72.92%/61.03% | Recall: 71.05%/60.64% | F1: 67.67%/55.62% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  38: Train%/Test% | Accuracy: 66.94%/56.60% | Precision: 72.87%/63.01% | Recall: 70.39%/62.19% | F1: 66.60%/56.51% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  39: Train%/Test% | Accuracy: 67.77%/56.60% | Precision: 72.85%/62.08% | Recall: 70.95%/61.65% | F1: 67.55%/56.57% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  40: Train%/Test% | Accuracy: 67.18%/55.66% | Precision: 72.75%/61.47% | Recall: 70.52%/60.91% | F1: 66.89%/55.60% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  41: Train%/Test% | Accuracy: 69.19%/56.60% | Precision: 73.95%/62.54% | Recall: 72.25%/61.92% | F1: 69.03%/56.54% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  42: Train%/Test% | Accuracy: 77.01%/66.98% | Precision: 78.09%/67.24% | Recall: 78.56%/68.52% | F1: 76.99%/66.48% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  43: Train%/Test% | Accuracy: 69.08%/55.19% | Precision: 74.00%/61.62% | Recall: 72.19%/60.80% | F1: 68.89%/55.07% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  44: Train%/Test% | Accuracy: 79.27%/73.58% | Precision: 78.85%/71.59% | Recall: 78.30%/70.53% | F1: 78.52%/70.94% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  45: Train%/Test% | Accuracy: 79.74%/73.58% | Precision: 79.29%/71.59% | Recall: 78.91%/70.53% | F1: 79.07%/70.94% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  46: Train%/Test% | Accuracy: 80.69%/74.06% | Precision: 80.26%/72.11% | Recall: 79.92%/71.17% | F1: 80.07%/71.54% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  47: Train%/Test% | Accuracy: 80.57%/74.06% | Precision: 80.16%/72.09% | Recall: 79.74%/71.44% | F1: 79.92%/71.71% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  48: Train%/Test% | Accuracy: 81.04%/73.58% | Precision: 80.60%/71.57% | Recall: 80.34%/70.80% | F1: 80.46%/71.11% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  49: Train%/Test% | Accuracy: 81.04%/73.58% | Precision: 80.55%/71.56% | Recall: 80.50%/71.07% | F1: 80.52%/71.28% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  50: Train%/Test% | Accuracy: 79.62%/72.64% | Precision: 79.25%/70.55% | Recall: 78.61%/69.25% | F1: 78.86%/69.71% | Time: fit=017s, train=003s, test=001s, total=020s
