[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 4922
==============================
Using CPU for training
Dataset: fake-news-datasets-deception-Celebrity
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 400
Train classes: 2
Test size: 100
Test classes: 2
Total features: 4922
==============================
[*] Training for 150 epochs...
Epoch  29: Train%/Test% | Accuracy: 93.25%/74.00% | Precision: 93.34%/74.17% | Recall: 93.30%/73.35% | F1: 93.25%/73.48% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  30: Train%/Test% | Accuracy: 95.75%/75.00% | Precision: 95.78%/75.09% | Recall: 95.78%/74.44% | F1: 95.75%/74.57% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  31: Train%/Test% | Accuracy: 94.00%/72.00% | Precision: 94.34%/72.46% | Recall: 93.92%/72.46% | F1: 93.98%/72.00% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  32: Train%/Test% | Accuracy: 95.00%/75.00% | Precision: 95.00%/75.09% | Recall: 95.02%/74.44% | F1: 95.00%/74.57% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  33: Train%/Test% | Accuracy: 96.00%/73.00% | Precision: 96.00%/72.83% | Recall: 96.00%/72.75% | F1: 96.00%/72.78% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  34: Train%/Test% | Accuracy: 96.75%/73.00% | Precision: 96.75%/72.83% | Recall: 96.75%/72.75% | F1: 96.75%/72.78% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  35: Train%/Test% | Accuracy: 95.25%/74.00% | Precision: 95.44%/74.45% | Recall: 95.32%/73.19% | F1: 95.25%/73.32% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  36: Train%/Test% | Accuracy: 93.75%/71.00% | Precision: 94.34%/71.76% | Recall: 93.87%/69.93% | F1: 93.74%/69.91% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  37: Train%/Test% | Accuracy: 94.00%/72.00% | Precision: 94.55%/73.08% | Recall: 94.12%/70.85% | F1: 93.99%/70.83% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  38: Train%/Test% | Accuracy: 93.00%/70.00% | Precision: 93.54%/70.86% | Recall: 93.12%/68.84% | F1: 92.99%/68.75% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  39: Train%/Test% | Accuracy: 95.00%/73.00% | Precision: 95.29%/73.55% | Recall: 95.09%/72.10% | F1: 95.00%/72.20% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  40: Train%/Test% | Accuracy: 96.00%/74.00% | Precision: 96.17%/74.45% | Recall: 96.07%/73.19% | F1: 96.00%/73.32% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  41: Train%/Test% | Accuracy: 96.50%/75.00% | Precision: 96.57%/75.70% | Recall: 96.55%/74.11% | F1: 96.50%/74.26% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  42: Train%/Test% | Accuracy: 95.75%/74.00% | Precision: 95.84%/74.45% | Recall: 95.80%/73.19% | F1: 95.75%/73.32% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  43: Train%/Test% | Accuracy: 96.25%/74.00% | Precision: 96.28%/74.45% | Recall: 96.28%/73.19% | F1: 96.25%/73.32% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  44: Train%/Test% | Accuracy: 96.25%/73.00% | Precision: 96.26%/73.25% | Recall: 96.27%/72.26% | F1: 96.25%/72.38% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  45: Train%/Test% | Accuracy: 97.00%/72.00% | Precision: 97.00%/71.92% | Recall: 97.00%/71.50% | F1: 97.00%/71.59% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  46: Train%/Test% | Accuracy: 97.00%/73.00% | Precision: 97.00%/73.03% | Recall: 97.00%/72.42% | F1: 97.00%/72.54% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  47: Train%/Test% | Accuracy: 97.50%/73.00% | Precision: 97.49%/73.03% | Recall: 97.51%/72.42% | F1: 97.50%/72.54% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  48: Train%/Test% | Accuracy: 97.75%/71.00% | Precision: 97.89%/70.85% | Recall: 97.70%/70.57% | F1: 97.75%/70.64% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  49: Train%/Test% | Accuracy: 98.50%/74.00% | Precision: 98.57%/74.17% | Recall: 98.47%/73.35% | F1: 98.50%/73.48% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  50: Train%/Test% | Accuracy: 98.25%/73.00% | Precision: 98.34%/73.03% | Recall: 98.21%/72.42% | F1: 98.25%/72.54% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  51: Train%/Test% | Accuracy: 98.25%/73.00% | Precision: 98.25%/73.55% | Recall: 98.25%/72.10% | F1: 98.25%/72.20% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  52: Train%/Test% | Accuracy: 98.25%/73.00% | Precision: 98.26%/73.25% | Recall: 98.24%/72.26% | F1: 98.25%/72.38% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  53: Train%/Test% | Accuracy: 98.75%/74.00% | Precision: 98.80%/73.86% | Recall: 98.72%/73.67% | F1: 98.75%/73.74% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  54: Train%/Test% | Accuracy: 98.75%/73.00% | Precision: 98.76%/73.25% | Recall: 98.74%/72.26% | F1: 98.75%/72.38% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  55: Train%/Test% | Accuracy: 99.00%/73.00% | Precision: 98.99%/73.25% | Recall: 99.01%/72.26% | F1: 99.00%/72.38% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  56: Train%/Test% | Accuracy: 99.00%/73.00% | Precision: 98.99%/73.03% | Recall: 99.01%/72.42% | F1: 99.00%/72.54% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  57: Train%/Test% | Accuracy: 98.50%/75.00% | Precision: 98.49%/75.35% | Recall: 98.51%/74.28% | F1: 98.50%/74.42% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  58: Train%/Test% | Accuracy: 99.00%/72.00% | Precision: 98.99%/72.08% | Recall: 99.01%/71.34% | F1: 99.00%/71.44% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  59: Train%/Test% | Accuracy: 99.25%/74.00% | Precision: 99.25%/74.45% | Recall: 99.26%/73.19% | F1: 99.25%/73.32% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  60: Train%/Test% | Accuracy: 99.00%/74.00% | Precision: 99.00%/74.17% | Recall: 99.02%/73.35% | F1: 99.00%/73.48% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  61: Train%/Test% | Accuracy: 99.00%/74.00% | Precision: 98.99%/74.17% | Recall: 99.01%/73.35% | F1: 99.00%/73.48% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  62: Train%/Test% | Accuracy: 99.25%/73.00% | Precision: 99.25%/73.03% | Recall: 99.25%/72.42% | F1: 99.25%/72.54% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  63: Train%/Test% | Accuracy: 99.25%/71.00% | Precision: 99.26%/70.96% | Recall: 99.24%/70.41% | F1: 99.25%/70.50% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch  64: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/73.03% | Recall: 100.00%/72.42% | F1: 100.00%/72.54% | Time: fit=002s, train=000s, test=000s, total=002s
Epoch  65: Train%/Test% | Accuracy: 99.25%/72.00% | Precision: 99.25%/72.08% | Recall: 99.26%/71.34% | F1: 99.25%/71.44% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  66: Train%/Test% | Accuracy: 99.25%/74.00% | Precision: 99.25%/74.45% | Recall: 99.26%/73.19% | F1: 99.25%/73.32% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  67: Train%/Test% | Accuracy: 99.25%/74.00% | Precision: 99.25%/74.45% | Recall: 99.25%/73.19% | F1: 99.25%/73.32% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  68: Train%/Test% | Accuracy: 99.00%/74.00% | Precision: 99.00%/74.45% | Recall: 99.00%/73.19% | F1: 99.00%/73.32% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  69: Train%/Test% | Accuracy: 98.25%/73.00% | Precision: 98.28%/73.55% | Recall: 98.28%/72.10% | F1: 98.25%/72.20% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  70: Train%/Test% | Accuracy: 98.25%/73.00% | Precision: 98.28%/73.55% | Recall: 98.28%/72.10% | F1: 98.25%/72.20% | Time: fit=002s, train=000s, test=000s, total=003s
Epoch  71: Train%/Test% | Accuracy: 98.00%/73.00% | Precision: 98.04%/73.55% | Recall: 98.04%/72.10% | F1: 98.00%/72.20% | Time: fit=002s, train=000s, test=000s, total=003s
