[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
Epoch  28: Train%/Test% | Accuracy: 81.16%/77.83% | Precision: 80.64%/76.24% | Recall: 81.03%/77.10% | F1: 80.79%/76.58% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  29: Train%/Test% | Accuracy: 81.99%/75.94% | Precision: 82.29%/75.59% | Recall: 83.12%/77.49% | F1: 81.92%/75.42% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  30: Train%/Test% | Accuracy: 83.06%/75.47% | Precision: 82.87%/74.15% | Recall: 83.72%/75.51% | F1: 82.91%/74.47% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  31: Train%/Test% | Accuracy: 78.20%/68.87% | Precision: 79.79%/69.98% | Recall: 80.05%/71.35% | F1: 78.19%/68.59% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  32: Train%/Test% | Accuracy: 83.41%/77.83% | Precision: 83.05%/76.16% | Recall: 82.77%/76.30% | F1: 82.90%/76.23% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  33: Train%/Test% | Accuracy: 82.82%/77.83% | Precision: 82.57%/76.26% | Recall: 81.95%/75.50% | F1: 82.20%/75.83% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  34: Train%/Test% | Accuracy: 81.04%/70.75% | Precision: 81.25%/70.75% | Recall: 82.07%/72.31% | F1: 80.95%/70.24% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  35: Train%/Test% | Accuracy: 81.52%/72.17% | Precision: 81.60%/71.59% | Recall: 82.44%/73.16% | F1: 81.41%/71.48% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  36: Train%/Test% | Accuracy: 84.36%/77.36% | Precision: 83.89%/75.66% | Recall: 84.14%/75.93% | F1: 84.00%/75.79% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  37: Train%/Test% | Accuracy: 81.75%/77.36% | Precision: 81.69%/76.25% | Recall: 80.56%/73.78% | F1: 80.96%/74.59% | Time: fit=017s, train=003s, test=001s, total=021s
