[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 4922
==============================
Using GPU for training
Dataset: fake-news-datasets-deception-Celebrity
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 400
Train classes: 2
Test size: 100
Test classes: 2
Total features: 4922
==============================
[*] Training for 150 epochs...
Epoch  29: Train%/Test% | Accuracy: 100.00%/72.00% | Precision: 100.00%/71.88% | Recall: 100.00%/71.98% | F1: 100.00%/71.90% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  30: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/71.99% | Recall: 100.00%/71.70% | F1: 100.00%/70.97% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  31: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/73.09% | Recall: 100.00%/73.23% | F1: 100.00%/72.98% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  32: Train%/Test% | Accuracy: 100.00%/71.00% | Precision: 100.00%/70.93% | Recall: 100.00%/71.05% | F1: 100.00%/70.93% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  33: Train%/Test% | Accuracy: 100.00%/69.00% | Precision: 100.00%/69.60% | Recall: 100.00%/69.52% | F1: 100.00%/69.00% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  34: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/72.89% | Recall: 100.00%/72.58% | F1: 100.00%/72.67% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  35: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/73.25% | Recall: 100.00%/72.26% | F1: 100.00%/72.38% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  36: Train%/Test% | Accuracy: 100.00%/70.00% | Precision: 100.00%/70.49% | Recall: 100.00%/69.00% | F1: 100.00%/69.00% | Time: fit=000s, train=000s, test=000s, total=001s
Epoch  37: Train%/Test% | Accuracy: 100.00%/73.00% | Precision: 100.00%/73.03% | Recall: 100.00%/72.42% | F1: 100.00%/72.54% | Time: fit=001s, train=000s, test=000s, total=001s
Epoch  38: Train%/Test% | Accuracy: 100.00%/74.00% | Precision: 100.00%/74.45% | Recall: 100.00%/73.19% | F1: 100.00%/73.32% | Time: fit=000s, train=000s, test=000s, total=001s
