[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] -> text...
[*] Encoding complete!
==============================
Using GPU for training
Dataset: FakeNewsNet-politifact
TMU params: num-clauses=5000, T=250, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 844
Train classes: 2
Test size: 212
Test classes: 2
Total features: 2934
==============================
[*] Training for 150 epochs...
*** compiler output in /tmp/tmpz0ke4uou
*** compiler output in /tmp/tmp9qibpyra
Epoch   1: Train%/Test% | Accuracy: 41.94%/36.79%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
 | Precision: 20.97%/18.40% | Recall: 50.00%/50.00% | F1: 29.55%/26.90% | Time: fit=023s, train=003s, test=001s, total=027s
Epoch   2: Train%/Test% | Accuracy: 58.06%/63.21%/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
/usr/local/lib/python3.8/dist-packages/sklearn/metrics/_classification.py:1245: UndefinedMetricWarning: Precision is ill-defined and being set to 0.0 in labels with no predicted samples. Use `zero_division` parameter to control this behavior.
  _warn_prf(average, modifier, msg_start, len(result))
Epoch  25: Train%/Test% | Accuracy: 81.16%/76.42% | Precision: 81.04%/74.88% | Recall: 79.97%/73.31% | F1: 80.35%/73.88% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  26: Train%/Test% | Accuracy: 80.92%/75.94% | Precision: 81.13%/74.64% | Recall: 79.42%/72.13% | F1: 79.94%/72.90% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  27: Train%/Test% | Accuracy: 81.52%/78.77% | Precision: 82.34%/79.56% | Recall: 79.65%/73.83% | F1: 80.35%/75.15% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  28: Train%/Test% | Accuracy: 81.28%/76.89% | Precision: 81.94%/76.18% | Recall: 79.49%/72.61% | F1: 80.14%/73.58% | Time: fit=016s, train=003s, test=001s, total=020s
Epoch  29: Train%/Test% | Accuracy: 81.16%/76.42% | Precision: 80.98%/74.99% | Recall: 80.05%/73.04% | F1: 80.39%/73.71% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  30: Train%/Test% | Accuracy: 81.28%/77.83% | Precision: 81.49%/76.90% | Recall: 79.80%/74.16% | F1: 80.32%/75.03% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  31: Train%/Test% | Accuracy: 79.98%/74.53% | Precision: 82.06%/76.05% | Recall: 77.38%/67.80% | F1: 78.20%/68.62% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  32: Train%/Test% | Accuracy: 79.27%/74.53% | Precision: 81.63%/76.63% | Recall: 76.50%/67.53% | F1: 77.29%/68.30% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  33: Train%/Test% | Accuracy: 81.99%/75.47% | Precision: 82.54%/75.01% | Recall: 80.33%/70.42% | F1: 80.96%/71.40% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  34: Train%/Test% | Accuracy: 81.52%/75.94% | Precision: 82.21%/75.49% | Recall: 79.73%/71.06% | F1: 80.39%/72.06% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  35: Train%/Test% | Accuracy: 80.81%/76.42% | Precision: 80.80%/74.88% | Recall: 79.47%/73.31% | F1: 79.91%/73.88% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  36: Train%/Test% | Accuracy: 81.04%/76.89% | Precision: 80.90%/75.28% | Recall: 79.87%/74.22% | F1: 80.24%/74.65% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  37: Train%/Test% | Accuracy: 80.21%/73.11% | Precision: 80.98%/71.63% | Recall: 78.25%/68.28% | F1: 78.92%/69.03% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  38: Train%/Test% | Accuracy: 82.11%/76.42% | Precision: 83.04%/75.48% | Recall: 80.24%/72.23% | F1: 80.96%/73.14% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  39: Train%/Test% | Accuracy: 79.03%/67.45% | Precision: 80.03%/68.71% | Recall: 80.57%/69.97% | F1: 79.00%/67.19% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  40: Train%/Test% | Accuracy: 79.15%/67.92% | Precision: 79.93%/69.03% | Recall: 80.55%/70.34% | F1: 79.11%/67.64% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  41: Train%/Test% | Accuracy: 84.24%/77.36% | Precision: 83.78%/75.66% | Recall: 83.96%/75.93% | F1: 83.86%/75.79% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  42: Train%/Test% | Accuracy: 83.41%/76.42% | Precision: 83.24%/74.79% | Recall: 82.50%/73.57% | F1: 82.79%/74.05% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  43: Train%/Test% | Accuracy: 82.35%/76.89% | Precision: 82.90%/76.18% | Recall: 80.72%/72.61% | F1: 81.35%/73.58% | Time: fit=017s, train=003s, test=001s, total=020s
Epoch  44: Train%/Test% | Accuracy: 81.75%/76.89% | Precision: 82.16%/75.77% | Recall: 80.17%/73.14% | F1: 80.76%/73.97% | Time: fit=017s, train=003s, test=001s, total=021s
Epoch  45: Train%/Test% | Accuracy: 82.82%/76.42% | Precision: 83.36%/75.29% | Recall: 81.24%/72.50% | F1: 81.87%/73.34% | Time: fit=017s, train=003s, test=001s, total=021s
