[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 4922
==============================
Using CPU for training
Dataset: fake-news-datasets-deception-Celebrity
TMU params: num-clauses=5000, T=200, s=15.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 400
Train classes: 2
Test size: 100
Test classes: 2
Total features: 4922
==============================
[*] Training for 150 epochs...
Epoch   1: Train%/Test% | Accuracy: 52.25%/56.00% | Precision: 52.76%/55.26% | Recall: 52.54%/54.27% | F1: 51.40%/52.81% | Time: fit=006s, train=000s, test=000s, total=006s
Epoch   2: Train%/Test% | Accuracy: 62.25%/63.00% | Precision: 62.82%/62.69% | Recall: 62.43%/62.36% | F1: 62.02%/62.36% | Time: fit=005s, train=000s, test=000s, total=005s
Epoch   3: Train%/Test% | Accuracy: 70.25%/61.00% | Precision: 70.27%/61.08% | Recall: 70.27%/61.15% | F1: 70.25%/60.96% | Time: fit=005s, train=000s, test=000s, total=005s
Epoch   4: Train%/Test% | Accuracy: 75.00%/64.00% | Precision: 76.98%/66.41% | Recall: 74.72%/65.22% | F1: 74.38%/63.64% | Time: fit=004s, train=000s, test=000s, total=005s
Epoch   5: Train%/Test% | Accuracy: 73.00%/62.00% | Precision: 80.51%/65.00% | Recall: 73.49%/59.66% | F1: 71.49%/57.03% | Time: fit=004s, train=000s, test=000s, total=004s
Epoch   6: Train%/Test% | Accuracy: 59.00%/56.00% | Precision: 77.22%/65.10% | Recall: 59.80%/52.33% | F1: 51.65%/41.33% | Time: fit=004s, train=000s, test=000s, total=004s
Epoch   7: Train%/Test% | Accuracy: 64.25%/61.00% | Precision: 78.91%/70.12% | Recall: 64.95%/57.93% | F1: 59.65%/52.15% | Time: fit=004s, train=000s, test=000s, total=004s
Epoch   8: Train%/Test% | Accuracy: 74.00%/65.00% | Precision: 82.23%/70.34% | Recall: 74.50%/62.60% | F1: 72.48%/60.11% | Time: fit=004s, train=000s, test=000s, total=004s
Epoch   9: Train%/Test% | Accuracy: 74.25%/65.00% | Precision: 82.34%/71.90% | Recall: 74.74%/62.44% | F1: 72.78%/59.45% | Time: fit=003s, train=000s, test=000s, total=004s
Epoch  10: Train%/Test% | Accuracy: 80.75%/67.00% | Precision: 85.30%/72.12% | Recall: 81.11%/64.77% | F1: 80.23%/62.97% | Time: fit=003s, train=000s, test=000s, total=004s
Epoch  11: Train%/Test% | Accuracy: 84.50%/66.00% | Precision: 86.49%/67.66% | Recall: 84.73%/64.33% | F1: 84.34%/63.53% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  12: Train%/Test% | Accuracy: 90.50%/75.00% | Precision: 90.71%/74.93% | Recall: 90.58%/74.60% | F1: 90.50%/74.69% | Time: fit=003s, train=000s, test=000s, total=004s
Epoch  13: Train%/Test% | Accuracy: 87.75%/70.00% | Precision: 89.35%/73.71% | Recall: 87.55%/71.42% | F1: 87.58%/69.56% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  14: Train%/Test% | Accuracy: 81.75%/65.00% | Precision: 86.51%/71.36% | Recall: 81.39%/66.95% | F1: 81.01%/63.69% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  15: Train%/Test% | Accuracy: 91.25%/76.00% | Precision: 91.53%/75.88% | Recall: 91.17%/76.01% | F1: 91.22%/75.91% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  16: Train%/Test% | Accuracy: 91.25%/76.00% | Precision: 91.53%/76.00% | Recall: 91.17%/76.17% | F1: 91.22%/75.96% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  17: Train%/Test% | Accuracy: 91.50%/77.00% | Precision: 91.55%/76.93% | Recall: 91.47%/77.09% | F1: 91.49%/76.94% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  18: Train%/Test% | Accuracy: 92.75%/75.00% | Precision: 92.77%/74.85% | Recall: 92.73%/74.92% | F1: 92.74%/74.88% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  19: Train%/Test% | Accuracy: 93.75%/75.00% | Precision: 93.92%/74.85% | Recall: 93.69%/74.76% | F1: 93.74%/74.80% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  20: Train%/Test% | Accuracy: 92.50%/76.00% | Precision: 92.51%/76.03% | Recall: 92.53%/75.52% | F1: 92.50%/75.65% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  21: Train%/Test% | Accuracy: 93.75%/75.00% | Precision: 93.83%/74.85% | Recall: 93.71%/74.76% | F1: 93.74%/74.80% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  22: Train%/Test% | Accuracy: 93.75%/77.00% | Precision: 93.92%/76.87% | Recall: 93.69%/76.77% | F1: 93.74%/76.81% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  23: Train%/Test% | Accuracy: 92.25%/72.00% | Precision: 92.90%/72.20% | Recall: 92.13%/72.30% | F1: 92.20%/71.99% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  24: Train%/Test% | Accuracy: 92.25%/75.00% | Precision: 92.41%/74.85% | Recall: 92.19%/74.92% | F1: 92.23%/74.88% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  25: Train%/Test% | Accuracy: 93.50%/74.00% | Precision: 93.49%/73.86% | Recall: 93.51%/73.67% | F1: 93.50%/73.74% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  26: Train%/Test% | Accuracy: 94.25%/73.00% | Precision: 94.25%/72.83% | Recall: 94.26%/72.75% | F1: 94.25%/72.78% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  27: Train%/Test% | Accuracy: 95.00%/74.00% | Precision: 95.07%/73.97% | Recall: 95.05%/73.51% | F1: 95.00%/73.62% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  28: Train%/Test% | Accuracy: 94.25%/74.00% | Precision: 94.34%/74.17% | Recall: 94.30%/73.35% | F1: 94.25%/73.48% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  29: Train%/Test% | Accuracy: 94.50%/74.00% | Precision: 94.54%/73.97% | Recall: 94.54%/73.51% | F1: 94.50%/73.62% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  30: Train%/Test% | Accuracy: 94.75%/74.00% | Precision: 94.78%/73.86% | Recall: 94.78%/73.67% | F1: 94.75%/73.74% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  31: Train%/Test% | Accuracy: 94.25%/75.00% | Precision: 94.33%/74.85% | Recall: 94.21%/74.92% | F1: 94.24%/74.88% | Time: fit=003s, train=000s, test=000s, total=003s
Epoch  32: Train%/Test% | Accuracy: 96.25%/72.00% | Precision: 96.34%/72.08% | Recall: 96.30%/71.34% | F1: 96.25%/71.44% | Time: fit=003s, train=000s, test=000s, total=003s
