[nltk_data] Downloading package wordnet to /home/bjorvl16/nltk_data...
[nltk_data]   Package wordnet is already up-to-date!
[nltk_data] Downloading package stopwords to
[nltk_data]     /home/bjorvl16/nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
[*] Load dataset...
[*] Fix malformed data...
[*] Split...
[*] Encoding...
[*] Encoding feature: text... 4922
==============================
Using GPU for training
Dataset: fake-news-datasets-deception-Celebrity
TMU params: num-clauses=5000, T=150, s=10.0
Epochs: 150
Feature(s): text
max-vocab=15000, max-domain=500, max-tweet=500
====================
Train size: 400
Train classes: 2
Test size: 100
Test classes: 2
Total features: 4922
==============================
[*] Training for 150 epochs...
Epoch  29: Train%/Test% | Accuracy: 97.25%/72.00% | Precision: 97.25%/72.00% | Recall: 97.25%/72.14% | F1: 97.25%/71.96% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  30: Train%/Test% | Accuracy: 97.25%/74.00% | Precision: 97.25%/73.83% | Recall: 97.25%/73.83% | F1: 97.25%/73.83% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  31: Train%/Test% | Accuracy: 97.75%/73.00% | Precision: 97.76%/72.83% | Recall: 97.77%/72.75% | F1: 97.75%/72.78% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  32: Train%/Test% | Accuracy: 97.50%/74.00% | Precision: 97.51%/73.86% | Recall: 97.49%/73.67% | F1: 97.50%/73.74% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  33: Train%/Test% | Accuracy: 98.25%/74.00% | Precision: 98.25%/73.86% | Recall: 98.26%/73.67% | F1: 98.25%/73.74% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  34: Train%/Test% | Accuracy: 97.50%/73.00% | Precision: 97.51%/72.89% | Recall: 97.53%/72.58% | F1: 97.50%/72.67% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  35: Train%/Test% | Accuracy: 96.25%/72.00% | Precision: 96.27%/71.92% | Recall: 96.23%/71.50% | F1: 96.25%/71.59% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  36: Train%/Test% | Accuracy: 97.00%/73.00% | Precision: 97.04%/73.03% | Recall: 97.04%/72.42% | F1: 97.00%/72.54% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  37: Train%/Test% | Accuracy: 97.25%/71.00% | Precision: 97.25%/70.85% | Recall: 97.24%/70.57% | F1: 97.25%/70.64% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  38: Train%/Test% | Accuracy: 98.00%/73.00% | Precision: 98.04%/73.03% | Recall: 98.04%/72.42% | F1: 98.00%/72.54% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  39: Train%/Test% | Accuracy: 97.00%/71.00% | Precision: 97.01%/70.84% | Recall: 96.99%/70.89% | F1: 97.00%/70.86% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  40: Train%/Test% | Accuracy: 97.75%/73.00% | Precision: 97.75%/72.83% | Recall: 97.75%/72.75% | F1: 97.75%/72.78% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  41: Train%/Test% | Accuracy: 97.25%/73.00% | Precision: 97.25%/72.89% | Recall: 97.25%/72.58% | F1: 97.25%/72.67% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  42: Train%/Test% | Accuracy: 97.00%/73.00% | Precision: 97.04%/72.83% | Recall: 96.98%/72.75% | F1: 97.00%/72.78% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  43: Train%/Test% | Accuracy: 97.25%/73.00% | Precision: 97.27%/72.93% | Recall: 97.23%/73.07% | F1: 97.25%/72.93% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  44: Train%/Test% | Accuracy: 97.50%/73.00% | Precision: 97.50%/72.83% | Recall: 97.50%/72.75% | F1: 97.50%/72.78% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  45: Train%/Test% | Accuracy: 97.75%/74.00% | Precision: 97.76%/73.97% | Recall: 97.77%/73.51% | F1: 97.75%/73.62% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  46: Train%/Test% | Accuracy: 97.25%/73.00% | Precision: 97.28%/73.03% | Recall: 97.28%/72.42% | F1: 97.25%/72.54% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  47: Train%/Test% | Accuracy: 97.75%/75.00% | Precision: 97.75%/74.93% | Recall: 97.74%/75.08% | F1: 97.75%/74.94% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  48: Train%/Test% | Accuracy: 96.50%/74.00% | Precision: 96.54%/73.97% | Recall: 96.54%/73.51% | F1: 96.50%/73.62% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  49: Train%/Test% | Accuracy: 97.25%/74.00% | Precision: 97.34%/74.17% | Recall: 97.30%/73.35% | F1: 97.25%/73.48% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  50: Train%/Test% | Accuracy: 96.75%/74.00% | Precision: 96.84%/74.17% | Recall: 96.80%/73.35% | F1: 96.75%/73.48% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  51: Train%/Test% | Accuracy: 97.50%/73.00% | Precision: 97.51%/73.03% | Recall: 97.53%/72.42% | F1: 97.50%/72.54% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  52: Train%/Test% | Accuracy: 97.50%/73.00% | Precision: 97.49%/73.03% | Recall: 97.51%/72.42% | F1: 97.50%/72.54% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  53: Train%/Test% | Accuracy: 97.75%/75.00% | Precision: 97.76%/74.93% | Recall: 97.77%/74.60% | F1: 97.75%/74.69% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  54: Train%/Test% | Accuracy: 96.75%/71.00% | Precision: 96.80%/71.14% | Recall: 96.79%/70.25% | F1: 96.75%/70.33% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  55: Train%/Test% | Accuracy: 97.00%/71.00% | Precision: 97.07%/71.14% | Recall: 97.05%/70.25% | F1: 97.00%/70.33% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  56: Train%/Test% | Accuracy: 97.25%/73.00% | Precision: 97.30%/73.03% | Recall: 97.29%/72.42% | F1: 97.25%/72.54% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  57: Train%/Test% | Accuracy: 97.50%/73.00% | Precision: 97.54%/73.03% | Recall: 97.54%/72.42% | F1: 97.50%/72.54% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  58: Train%/Test% | Accuracy: 97.75%/72.00% | Precision: 97.80%/72.08% | Recall: 97.79%/71.34% | F1: 97.75%/71.44% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  59: Train%/Test% | Accuracy: 97.75%/73.00% | Precision: 97.80%/73.25% | Recall: 97.79%/72.26% | F1: 97.75%/72.38% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  60: Train%/Test% | Accuracy: 97.00%/70.00% | Precision: 97.12%/70.49% | Recall: 97.06%/69.00% | F1: 97.00%/69.00% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  61: Train%/Test% | Accuracy: 98.00%/74.00% | Precision: 98.04%/74.17% | Recall: 98.04%/73.35% | F1: 98.00%/73.48% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  62: Train%/Test% | Accuracy: 97.25%/73.00% | Precision: 97.30%/73.25% | Recall: 97.29%/72.26% | F1: 97.25%/72.38% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  63: Train%/Test% | Accuracy: 98.00%/73.00% | Precision: 98.04%/73.25% | Recall: 98.04%/72.26% | F1: 98.00%/72.38% | Time: fit=005s, train=001s, test=000s, total=006s
Epoch  64: Train%/Test% | Accuracy: 98.00%/72.00% | Precision: 98.04%/72.33% | Recall: 98.04%/71.18% | F1: 98.00%/71.26% | Time: fit=005s, train=001s, test=000s, total=006s
